model,coefficients,standard_errors,t_statistics,sigma2,loglik,AIC,BIC,nobs
"ARIMA(1,1,0)",ar1 -0.314346,ar1 0.070509,ar1 -4.458,0.007546502050669346,184.84148865304175,-365.6829773060835,-359.2970636043031,180
"ARIMA(1,1,1)",ar1 0.249896; ma1 -0.821432,ar1 0.087399; ma1 0.042322,ar1 2.859; ma1 -19.409,0.006233587679832108,202.23567915988937,-398.47135831977874,-388.8924877671081,180
"ARIMA(3,1,3)",ar1 -0.952694; ar2 -0.676157; ar3 0.089707; ma1 0.480248; ma2 -0.02901; ma3 -0.802223,ar1 0.090273; ar2 0.108268; ar3 0.089093; ma1 0.055575; ma2 0.064722; ma3 0.057463,ar1 -10.553; ar2 -6.245; ar3 1.007; ma1 8.642; ma2 -0.448; ma3 -13.961,0.005595628126112892,211.41657201694548,-408.83314403389096,-386.48244607765946,180
