modelo,tipo_raiz,parte_real,parte_imaginaria,modulo,modulo_inverso,admissivel
"ARIMA(0,1,1)",MA,1.3676714068640854,0,1.3676714068640854,0.7311697787796018,TRUE
"ARIMA(1,1,0)",AR,-3.1812039644362744,0,3.1812039644362744,0.3143463956349008,TRUE
"ARIMA(1,1,1)",AR,4.001659118243116,0,4.001659118243116,0.24989634810249378,TRUE
"ARIMA(1,1,1)",MA,1.217386724572472,0,1.217386724572472,0.8214316616202505,TRUE
"ARIMA(3,1,3)",AR,-0.6690379720880976,0.8990924525124068,1.120704709662866,0.8922957058874351,TRUE
"ARIMA(3,1,3)",AR,-0.6690379720880918,-0.8990924525124074,1.120704709662863,0.8922957058874375,TRUE
"ARIMA(3,1,3)",AR,8.875448453883608,7.735046828219125e-16,8.875448453883608,0.11267036310288439,TRUE
"ARIMA(3,1,3)",MA,1.246451324688098,7.538596142239029e-16,1.246451324688098,0.8022776182216599,TRUE
"ARIMA(3,1,3)",MA,-0.6413067709777635,0.7673291413911935,1.0000341922804799,0.9999658088885922,FALSE
"ARIMA(3,1,3)",MA,-0.6413067709777615,-0.7673291413911941,1.0000341922804792,0.9999658088885929,FALSE
