modelo,parametro,estimativa,erro_padrao,estatistica_t,p_valor
"ARIMA(0,1,1)",ma1,-0.7311697787796018,0.062013582622973906,-11.790477954239794,4.3705362873536044e-32
"ARIMA(1,1,0)",ar1,-0.3143463956349008,0.0705094653034061,-4.458215564140942,8.264476883036358e-6
"ARIMA(1,1,1)",ar1,0.2498963481024938,0.08739909515723679,2.8592555523934617,0.004246365487399695
"ARIMA(1,1,1)",ma1,-0.8214316616202505,0.04232152860012137,-19.40930984278991,6.438607174565e-84
"ARIMA(3,1,3)",ar1,-0.9526944995992915,0.09027346129481754,-10.553428282626227,4.897674503213048e-26
"ARIMA(3,1,3)",ar2,-0.6761565808274266,0.10826789669469784,-6.245217663497288,4.232103454197608e-10
"ARIMA(3,1,3)",ar3,0.08970719968485054,0.08909250044525434,1.006899562101458,0.3139830424545533
"ARIMA(3,1,3)",ma1,0.48024821726827205,0.05557454021153433,8.641514899453869,5.547251298034898e-18
"ARIMA(3,1,3)",ma2,-0.029010153658388032,0.06472195363586754,-0.4482274101551721,0.6539890826677681
"ARIMA(3,1,3)",ma3,-0.8022227576327025,0.05746319834722414,-13.960635340644162,2.7100712525646796e-44
