dia_da_semana,negocios,contratos,dias_no_calendario,dias_com_negocio,negocios_por_dia,fim_de_semana
segunda,948,576065.9400000001,26,23,36.46153846153846,FALSE
terca,2214,741711.44,26,24,85.15384615384616,FALSE
quarta,1952,540027.54,26,26,75.07692307692308,FALSE
quinta,899,374794.02,25,24,35.96,FALSE
sexta,1097,797659.13,26,25,42.19230769230769,FALSE
sabado,542,109406.15,26,22,20.846153846153847,TRUE
domingo,698,113132.55,26,23,26.846153846153847,TRUE
