h,pit_esquema1,pit_esquema2
1,0.538232374831108,0.538232374831108
2,0.538538793480448,0.5256196293561971
3,0.567318181230489,0.5540123565058437
4,0.5028407789519952,0.4633588350411346
5,0.5435275391498093,0.5358185265112745
6,0.5525906531689349,0.5295592239019986
7,0.5613191548668754,0.5333021152247277
8,0.6965527608347172,0.6962905735924921
9,0.4363310477031198,0.2962906192246529
10,0.409973076405097,0.3740583926781349
11,0.41144418087367773,0.40473545674094724
12,0.4216690507569041,0.43344194583404916
13,0.43160390176883356,0.4543131065253969
14,0.43262754016271254,0.4595390239583217
15,0.43360655413458743,0.4667890687403639
16,0.5191675940052186,0.592271171560892
17,0.5852504203213176,0.6399979681877919
18,0.6001985247303792,0.6159552763685228
19,0.5909891046290122,0.5780241099824736
20,0.5976710812334414,0.578906758270323
21,0.5574917592938484,0.501997469251142
22,0.6029341362009527,0.5879889634253486
23,0.5942146338286858,0.5428425977360453
24,0.5326164011851909,0.4420791247329873
