scheme,model,RMSE,MAE,MAPE
origem_fixa_24_passos,ARIMA,0.023885570147588756,0.021269333566975895,0.5793186062350456
origem_fixa_24_passos,passeio_aleatorio,0.02815768824795675,0.02444727891156469,0.6648970773645911
origem_fixa_24_passos,sazonal_ingenuo,0.024111304215574534,0.020833333333333315,0.5676584987542964
origem_movel_1_passo,ARIMA,0.020993891616137576,0.01836083803556658,0.500526415384134
origem_movel_1_passo,passeio_aleatorio,0.019594759560889182,0.011904761904761918,0.3245628611253661
origem_movel_1_passo,sazonal_ingenuo,0.03684657353483214,0.03220663265306106,0.8781736362192141
