model,coefficients,standard_errors,t_statistics,sigma2,loglik,AIC,BIC,nobs
selecionado,ar1 0.249896; ma1 -0.821432,ar1 0.087399; ma1 0.042322,ar1 2.859; ma1 -19.409,0.006233587679832108,202.23567915988937,-398.47135831977874,-388.8924877671081,180
sobrediferenciado,ar1 -0.312059; ma1 -0.999999,ar1 0.070777; ma1 0.014883,ar1 -4.409; ma1 -67.19,0.007615661484966237,180.6395822195057,-355.2791644390114,-345.71700702148917,179
