model,coefficients,standard_errors,t_statistics,sigma2,loglik,AIC,BIC,nobs,AIC_vs_selecionado,melhora_AIC
"ARIMA(2,1,1)",ar1 0.244215; ar2 -0.087524; ma1 -0.79826,ar1 0.088995; ar2 0.08146; ma1 0.052542,ar1 2.744; ar2 -1.074; ma1 -15.193,0.006227572449054176,202.80300802855854,-397.6060160571171,-384.8341886535562,180,0.8653422626616702,FALSE
"ARIMA(1,1,2)",ar1 0.055169; ma1 -0.61252; ma2 -0.16231,ar1 0.243715; ma1 0.234278; ma2 0.175326,ar1 0.226; ma1 -2.614; ma2 -0.926,0.006243505235398855,202.58789420498934,-397.1757884099787,-384.40396100641783,180,1.295569909800065,FALSE
